ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_NaturalSpots
23,28,6493,758.0,937.0,1.0,1.332395400673661,0.3209196722653423,1.0,0.5618726202838352,0.13504829514034447,107.592282640154,108.85311203635843,15.652475842498529,5.478530874571876,5.0,102.02281378175427,101.9013412417409,3.531899061191146,777.2899999999977,0.7319355202344718,0,0,0,0,0,1,0,765.3836439242261,948.2815339596489,28,28
23,29,2113,968.0,913.0,1.0,4.193607843919006,0.6359556434379984,10.0,0.20715686274509804,0.08005770539876812,118.72878519044397,108.24047302187847,9.848857801796104,2.9903442316772555,2.8284271247461903,91.23632655599114,91.6260443640794,-85.0816130329738,575.9079999999979,0.2748260388892501,0,0,0,0,0,1,0,973.667770941789,945.7207761476574,29,29
23,30,691,1209.0,891.0,1.0,11.780456209102553,0.9206944192370554,4.0,0.08164953326243649,0.23441688807655017,133.90229814088752,111.25196627475849,8.94427190999916,2.9599756806290225,2.8284271247461903,45.15018873778931,52.25995638855993,-53.7772964664315,192.46399999999977,0.1995091670275732,0,0,0,0,0,1,0,1203.8408104196817,919.7568740955137,30,30
23,31,10282,126.0,1171.0,1.0,1.0016433145823216,0.2775634303476866,1.0,0.7774669187145558,0.8732940602077458,116.58812657367845,117.47765745025733,55.154328932550705,18.980066761905963,16.76305461424021,110.71261454264335,112.00706586181742,-40.21597775294701,384.64799999999906,0.9792847278441829,0,0,0,0,0,0,1,127.14530247033652,1170.8235751799261,31,31
23,32,9345,341.0,1163.0,1.0,1.003750753288097,0.31105447510475953,-1.0,0.7797897196261683,0.771023713586707,111.84495077458264,112.96902230257638,49.193495504995376,17.14846375835446,15.0,105.64219685171314,106.29655586256223,-15.292235540444588,390.26599999999917,0.9731840666493101,0,0,0,0,0,0,1,343.8700909577314,1165.0508293204923,32,32
23,33,7234,585.0,1166.0,1.0,1.2195985064973989,0.3417704330219867,-12.0,0.6438234247063012,0.09768282646219904,109.04936215476071,107.28000745712129,15.033296378372908,4.576914544704733,4.123105625617661,102.42950394631679,102.48278800344912,24.85375203532391,964.6839999999968,0.8193453392230151,0,0,0,0,0,0,1,558.7061100359414,1161.9798175283383,33,33
23,34,2445,800.0,1147.0,1.0,3.3983685399006434,0.20071746371475638,16.0,0.22613762486126526,0.04749527758228559,103.74409124211786,107.42439201596628,8.06225774829855,2.542497786754853,2.23606797749979,98.67255241548378,101.63281306191578,-36.11551125016856,804.3019999999968,0.29677732596953327,0,0,0,0,0,0,1,774.4678936605317,1157.9762781186093,34,34
23,35,158,946.0,1161.0,1.0,60.587171519996446,0.814049870657299,10.0,0.017913832199546485,0.10158747878863635,134.7862795831105,105.54619841567009,4.0,1.4070258265321405,1.0,79.16861904370231,78.28319447231908,-16.29829302883777,139.80200000000002,0.02535098275170477,0,0,0,0,0,0,1,965.2974683544304,1150.3227848101267,35,35
23,36,206,1223.0,1124.0,1.0,9.577564927493798,0.9188650815387762,4.0,0.06873540206873541,0.36029165132252394,65.88403882908217,80.50465825031493,6.708203932499369,2.527985068715481,2.0,33.94765200898402,25.99598851526992,-27.724585300533615,84.76400000000002,0.11018989034501203,0,0,0,0,0,0,1,1217.616504854369,1128.116504854369,36,36
24,1,14519,89.0,106.0,1.0,1.0246013474028177,0.38318387300510565,2.0,0.6053114316684732,0.7401837626918614,142.71555970517514,185.64751546950473,64.8459713474939,22.397754000239793,19.72308292331602,132.66494600155323,131.82237850679428,59.43423659367836,496.48199999999844,0.8306301667667839,0,1,0,0,0,0,0,91.95819271299676,108.63372133067016,1,1
